Sch.,SLC,Heading,Description,,
10,10 0626 01,Own Purpose Revenue,Report the Safe Restart Agreement: Municipal Operating Funding on line 0626.,,
,10 0627 01,,Input Safe Restart Agreement: Public Transit Funding on line 0627.,,
,10 0628 01,,Report amount for Social Services Relief Fund on line 0628.,,
,"10 4047 01,",,Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the,,
,10 4048 01,,transportation service items: Short-Line Rail(line 4047) and Short-Sea Shipping(line 4048).,,
,"10 4081 01,",,Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the,,
,"10 4082 01,",,"new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082),",,
,"10 4083 01,",,Brownfield Redevelopment(line 4083) and Other(line 4084).,,
,10 4084 01,,,,
,10 4205 01,,Input Federal Gas Tax for Operating expenses: Capacity Building on SLC 10 4205 01.,,
,10 4299 01,,Canada Gas Tax Recognized in the year on SLC 10 4299 01 is automatically calculated as the sum of (SLC 10 4099 01 + SLC 10 4205 01).,,
42,42 6009 01,,Input amounts for Total COVID-19 Expenses as reported on SLC 40 0450 11 on SLC 42 6009 01.,,
60,60 1048 01,"Obligatory Reserve Funds, Deferred Revenue",Report Deferred revenue earned (Canada Gas Tax for Operating - Capacity Building) on  SLC 60 1048 01.,,
72B,,Continuity of Taxes Receivable,The following Municipal and Assessment Act  items are pre-populated on Schedule 72B. This is made available by April 2021. Users that have started will have to backup and restore onto an updated FIR 2020 template re-posted at the FIR website.,,
,72 1000 xx,,"Taxes collected on behalf of ""other"" bodies (Mun. Act 353) on line 1000.",,
,72 1010 xx,,Write-off of taxes (Mun. Act 354) on line 1010.,,
,72 1020 xx,,"Cancellation, reduction, refund of taxes, overcharges (Mun. Act 357/358) on line 1020.",,
,72 1030 xx,,"Cancellation, reduction or refund of taxes (Mun. Act 365) on line 1030.",,
,72 1040 xx,,Canada Gas Tax Recognized in the year on SLC 10 4299 01 is automatically calculated as the sum of (SLC 10 4099 01 + SLC 10 4205 01).,,
,72 1050 xx,,RfR (Assessment Act 39.1) on line 1050.,,
,72 1060 xx,,"Increase of taxes, error in calculating taxes (Mun. Act 359/359.1) on line 1060.",,
,72 1070 xx,,Post Roll Amended Notice (PRAN) (Assessment Act Section 32) on line 1070.,,
,72 1080 xx,,Special Amended Notice (SAN) (Assessment Act) on line 1080.,,
,72 1090 xx,,Tax Incentive Adjustment (TIA) (Assessment Act) on line 1090.,,
,72 1099 xx,,Subtotal on line 1099 sums the line items in 1000 to 1090.,,
,72 2899 xx,,Tax adjustments before allowances on line 2899 also includes:,,
,72 2301 xx,,Contaminated Property (Mun. Act  365.1) on line 2301.,,
,72 2400 xx,,Change in Assessment (Mun. Act 365.3) on line 2400.,,
