Schedule,SLC,Heading,Description,Section Description
10,10 1815 01,Other revenue,"The amount for ""Deferred revenue earned (Community Benefit)"" on line 1815 is referenced to (SLC 60 1036 01).",
10,10 6065 01,Continuity of GBE Equity,"Report the amount for ""Dividends paid"" on line 6065.",
10,10 6090 01,"""Government Business Enterprises Equity, end of year"" on SLC 60 6090 01 is calculated as","""Government Business Enterprises Equity, end of year"" on SLC 60 6090 01 is calculated as ((SLC 60 6010 01 + SLC 60 6020 01 + 60 6060 01)) - SLC 60 6065 01).",
22A,22 xxxx 01,Taxable GPL Info - RTC RTQ,"New RTC/RTQ codes for Taxable Schedules 22A, 22B, 22C includes (C8, S8, D8, X8,",
22B,22 xxxx 01,LT/ST SRA Info - RTC RTQ,"Y8, Z8, I8, J8, C0, X0, I0, J0).  All the RTC RTQ codes listed here is associated with the",
22C,22 xxxx 01,UT SRA Info - RTC RTQ,"(O, L, M, H) taxband. No new PIL property subclasses added to Schedule 24 at the moment.
RTQ = 8 is for Small Business subclass :
C8 - Commercial, Small Business with banding on lines 0975 to 0978.
S8 - Shopping Centre, Small Business with banding on lines 0985 to 0988.
D8 - Office Building, Small Business with banding on lines 0980 to 0983.
X8 - Commercial New Construction, Small Business with banding on lines 2565 to 2568
Y8 - Office Building New Construction, Small Business with banding on lines 2650 to 2653.
Z8 - Shopping Centre New Construction, Small Business with banding on lines 2845 to 2848.
I8 - Industrial Small Business with banding on lines 0965 to 0968.
J8 - Industrial New Construction, Small Business with banding on lines 2165 to 2168.
RTQ = 0 is for Small Scale on-Farm Business Discounted subclass :
C0 - Commercial, Small Scale on-Farm Business Discounted with banding on lines 0970 to 0973.
X0 - Commercial New Construction, Small Scale on-Farm Business Discounted with banding on lines 2560 to 2563.
I0 - Industrial, Small Scale on-Farm Business Discounted with banding on lines 0960 to 0963.
J0 - Industrial New Construction, Small Scale on-Farm Business Discounted with banding on lines 2160 to 2163.",
40,40 xxxx 16,,All services(except for General Government) on Amortization(SLC 40 xxxx 16) is referenced to Annual Amortization on (SLC 51A xxxx 08).,
40,51 xxxx 08,,All services(except for General Government) on Amortization(SLC 40 xxxx 16) is referenced to Annual Amortization on (SLC 51A xxxx 08).,
53,53 1422 01,,"Report the amount for ""Prior period adjustment"" on SLC 53 1422 01.",
53,53 1423 01,,"Net Financial Assets (Net Debt), beginning of year is Restated on SLC 53 1423 01 as (SLC 53 1420 01 +  SLC 53 1422 01).",
53,53 0417 01,,"""Community Benefit  Charges (SLC 60 1036 01)"" on SLC 53 0417 01 is referenced to SLC 60 1036 01.",
60,60 0312 xx,,"""Contributions from Operations"" is reported on line 0312.",
60,60 0615 01,Development Charges Act,"""Net Development Charges Collected"" is reported on SLC 60 0615 01.",
60,60 0616 01,Development Charges Act,"""Net Development Charges Receivable "" is reported on SLC 60 0616 01.",
60,60 0699 01,Development Charges Act,Subtotal Development Charges Act is calculated as (SLC 60 0615 01 + SLC 60 0616 01).,
60,60 0834 01,,"""Community Benefit Charges""is reported on SLC 60 0834 01.",
60,60 0842 01,,"""Interest earned on Development Charges Receivable"" is referenced to SLC 61 0299 18.",
60,60 1027 01,,"""Monies Borrowed from Development Charges Reserve Fund (SLC 61 0299 23)"" is referenced to SLC 61 0299 23.",
60,60 1036 01,,"""Community Benefit Charges earned"" is reported on SLC 60 1036 01.",
60,60 5635 01,Obligatory Deferred Revenue,"""Development Charges"" on SLC 60 5635 01 is referenced to SLC 61 0299 14.",
60,60 5636 01,Obligatory Deferred Revenue,"""Development Charge Installments Receivable (Uncollected)"" on SLC 60 5636 01 is referenced to SLC 61 0299 13.",
60,60 5655 01,Obligatory Deferred Revenue,"""Community Benefit Charges"" is reported on SLC 60 5655 01.",
61,61 0206 xx,,"""Emergency Preparedness"" is reported on line 0206.",The following are new lines added to all columns of Schedule 61:
61,61 0207 xx,,"""Electrical Power Services"" is reported on line 0207.",The following are new lines added to all columns of Schedule 61:
61,61 0216 xx,,"""Provinces Offences Act Services"" is reported on line 0216.",The following are new lines added to all columns of Schedule 61:
