schedule,schedule_name,category,description,valid_from_year,valid_to_year,change_notes
10,Revenues,Revenue,"Schedule 10 is divided into four sections. The first section reports total revenues of the municipality.

The second section presents the continuity of accumulated surplus/deficit for the current year and the accumulated surplus or deficit at the beginning of the year and at the end of the year.

The third section, Continuity of Government Business Enterprise Equity, is a continuity section which presents the government business enterprise equity at the beginning and end of the year.

The fourth section captures the provincial and federal gas tax (now called Canada Community Building fund) reported in Schedule 12.

Schedule 10 is a summary schedule. It is completed after Schedules 20 to 28, 72 and 12, schedules that report taxes, taxes receivable and current revenue for specific functions.  Data from those schedules automatically populates several lines in Schedule 10.  Where data is carried forward, an SLC (schedule, line, and column) reference appears after the caption for the line, indicating the source of the data.",,,
12,"Grants, User Fees, and Service Charges",Revenue,"Schedule 12 collects information on three types of non-tax revenues: operating grants from Ontario and Canada, revenue from other municipalities and user fees and service charges. Grants for tangible capital assets from Ontario, Canada and other municipalities are also to be reported on this schedule.  This information is reported under the appropriate functional category.

Other types of non-tax revenue which do not lend themselves to functional categories are reported on Schedule 10, Total Revenues.  These include:

**Licences, permits, rent, etc. (Schedule 10, lines 1410 to 1499) Fines and penalties (Schedule 10, lines 1605 to 1699) Other revenue (Schedule 10, lines 1805 to 1899)**

Note that other revenue includes investment income, donations, sale of publications, equipment, etc., contributions from non-consolidated entities, government business enterprises and other.",,,
20,Taxation Information,Taxation,"This schedule collects information on the property tax policies in effect in the municipality for the year.  These include:

**1. Optional Property Classes**

**2. Capping Parameters and Results**

**3. Graduated Taxation (Tax Bands)**

**4. Phase-In Program in Effect**

**5. Rebates for Eligible Charities**

**6. Property Tax Due Dates for Current Year**

Property tax policy is determined by upper-tier and single-tiers municipalities, but all municipalities must complete these sections.  Lower tiers should consult the upper tier for the information if necessary.  Only single tier and lower-tier municipalities are required to complete the property tax due date table.

Further information to that provided in the instructions below is also available in the OPTA Manual at the On-Line Property Tax Analysis (OPTA) website: hhtp://opta.reamined.on.ca",,,
22,Municipal and School Board Taxation,Taxation,"All municipalities, including single-tier, lower-tier and upper-tier municipalities must complete Schedule 22.

Upper-tiers report only Upper-tier tax rates that apply to the aggregated assessment of all lower-tiers.  Lower-tier and Education tax rates do not need to be entered by Uppertier municipalities.

This schedule collects taxation information on Taxable properties.  It is simply, a line-byline report showing the assessment for each property class in the municipality, the tax rates applicable to each class, and the taxation generated from each class.

Municipal and Education taxation information in this schedule is organized by dividing the Schedule into the following nine sections:

**1. General Purpose Levy**

**2. Special Area Levies (Lower-tier/Single-tier)**

**3. Special Area Levies (Upper tier)**

**4. Adjustments to Taxation**

**5. Supplementary Taxes**

**6. Amount Levied by Tax Rate**

**7. Amounts Added to Tax Bill**

**8. Other Taxation Amounts**

**9. Total Amount Levied**

Also, the schedule contains several columns, which can be summarized into the following 3 categories:

- **A. Property Class Description (Columns 1 to 4)**

- **B. Assessment and Tax Rates (Columns 5 to 11) C. Taxes Levied (Columns 12 to 15)**

Before explaining each of the sections and columns, the reporting treatment of several unique property types will be explained below.  Following this will be a description of each of the columns, and then a description of information reported in each section.",,,
22A,General Purpose Levy Information,Taxation,"This section contains all General-Purpose tax rates by property class for municipal and education purposes.  For each property class in the municipality, the total taxable assessment is also shown here, and is used to calculate the taxes levied for that property class.",,,
22B,Lower-Tier / Single-Tier Special Area Levy Information,Taxation,"For lower-tier and single tier municipalities, completion of Schedule 22B is required where any special area tax rates for lower-tier / single-tier purpose have been applied within the municipality.

Upper-tier municipalities should not enter any information into this schedule.",,,
22C,Upper-Tier Special Area Levy Information,Taxation,"Only lower-tier and upper-tier municipalities should enter information in Schedule 22C.

For lower-tier and upper-tier municipalities, completion of this section is required where any special area tax rates for upper-tier purpose have been applied within the municipality.",,,
24,In-Lieu of Taxation,Taxation,"All municipalities, including single-tier, lower-tier and upper-tier municipalities must complete Schedule 24.

Upper-tiers report only Upper-tier tax rates that apply to the aggregated assessment of all lower-tiers.  Lower-tier and Education tax rates do not need to be entered by Uppertier municipalities.

This schedule is very similar to Schedule 22, except this schedule collects information on Payment-In-Lieu properties only.  This schedule is a comprehensive report of Payment-In-Lieu (PIL) properties, with line-by-line details of the assessment for each property class in the municipality, the tax rates applicable to each class, and the Payment-In-Lieu amounts levied against each property class.

In completing this schedule, it is important to notice that this schedule only captures the PILS Levied (i.e., The PIL amount that is calculated from Tax Rate multiplied by Assessment).  Also recognize that amounts generated from Payment-In-Lieu properties are different from amounts generated from Taxable properties.

First, the amount of “PIL levied” on a property; is not necessarily the amount received by the municipality.  Second, in some cases the PIL amounts received for Education purposes are retained by the Municipality.

Both unique situations are captured in Part 3 of Schedule 26, where the final PIL amount retained by the Municipality and PIL amounts distributed to School Boards is reported.  Since the final PIL entitlement is reported on Schedule 26, this total PIL amount will be carried-forward onto Schedule 10, Revenue Fund Revenues.",,,
26,In-Lieu Summary,Taxation,"This schedule is used for reporting the final distribution of Education Taxes and Education PIL amounts by School Board.  To arrive at the final breakdown of Education amounts by School Board, the schedule has been set up with a summary of Property Tax and Payment-In-Lieu amounts reported on Schedules 22 and 24.

Municipal and Education totals are automatically calculated and summarized from the information entered on Schedule 22 and 24.  Education Totals are then distributed by School Board.

Since Taxation and PIL are treated differently, the schedule has been divided into the following sections:",,,
28,Tier Entitlements,Taxation,This schedule outlines the upper-tier Municipalities entitlements from each lower-tier municipality.,,,
