year,schedule,slc_pattern,line_id,column_id,heading,change_type,severity,description,source
2019,10,10 1886 01,1886,01,Own Purpose Revenue,updated_line,minor,"For 2019, report the Transient Accommodation Tax on line 1886 of Schedule 10.",pdf_changelog
2019,10,10 2063 01,2063,01,Own Purpose Revenue,updated_line,minor,"On schedule 10, report Other comprehensive income (loss) on SLC 10 2063 01. This amount will be added to the Accumulated surplus/(deficit) at the end of year on SLC 10 9950 01.",pdf_changelog
2019,22A,22 xxxx 08,,08,General Purpose Levy Information,updated_column,minor,"Taxrates (LT/ST, UT, EDUC) are preloaded for municipalities on columns 08, 09 and 10 of Schedule 22A.",pdf_changelog
2019,22A,22 xxxx 09,,09,General Purpose Levy Information,updated_column,minor,"Taxrates (LT/ST, UT, EDUC) are preloaded for municipalities on columns 08, 09 and 10 of Schedule 22A.",pdf_changelog
2019,22A,22 xxxx 10,,10,General Purpose Levy Information,updated_column,minor,"Taxrates (LT/ST, UT, EDUC) are preloaded for municipalities on columns 08, 09 and 10 of Schedule 22A.",pdf_changelog
2019,24A,24 xxxx 08,,08,General Purpose Payments-In-Lieu Information,updated_column,minor,"Taxrates (LT/ST, UT, EDUC) are preloaded for municipalities on columns 08, 09 and 10 of Schedule 24A.",pdf_changelog
2019,24A,24 xxxx 09,,09,General Purpose Payments-In-Lieu Information,updated_column,minor,"Taxrates (LT/ST, UT, EDUC) are preloaded for municipalities on columns 08, 09 and 10 of Schedule 24A.",pdf_changelog
2019,24A,24 xxxx 10,,10,General Purpose Payments-In-Lieu Information,updated_column,minor,"Taxrates (LT/ST, UT, EDUC) are preloaded for municipalities on columns 08, 09 and 10 of Schedule 24A.",pdf_changelog
2019,53,53 1421 01,1421,01,Consolidated Statement of Change In Net Financial Assets,updated_line,minor,"On schedule 53, report Other comprehensive income (loss) on SLC 53 1421 01. This amount will be added to the Net financial assets (net debt), end of year on SLC 53 9910 01.",pdf_changelog
2019,81,81 2255 01,2255,01,Annual Debt Repayment Limit,updated_line,minor,Other Revenue is automatically calculated on line 2255 of Schedule 81 and is the sum of (SLC 10 1890 01 + SLC 10 1891 01 + SLC 10 1892 01 + SLC 10 1893 01 + SLC 10 1894 01 + SLC 10 1895 01 + SLC 10 1896 01 + SLC 10 1897 01 + SLC 10 1898 01). This amount will be added to the Subtotal on SLC 81 2299  01.,pdf_changelog
2020,10,10 0626 01,0626,01,Own Purpose Revenue,updated_line,minor,Report the Safe Restart Agreement: Municipal Operating Funding on line 0626.,pdf_changelog
2020,10,10 0627 01,0627,01,Own Purpose Revenue,updated_line,minor,Input Safe Restart Agreement: Public Transit Funding on line 0627.,pdf_changelog
2020,10,10 0628 01,0628,01,Own Purpose Revenue,updated_line,minor,Report amount for Social Services Relief Fund on line 0628.,pdf_changelog
2020,10,10 4047 01,4047,01,Own Purpose Revenue,updated_line,minor,Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the transportation service items: Short-Line Rail(line 4047) and Short-Sea Shipping(line 4048).,pdf_changelog
2020,10,10 4048 01,4048,01,Own Purpose Revenue,updated_line,minor,Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the transportation service items: Short-Line Rail(line 4047) and Short-Sea Shipping(line 4048).,pdf_changelog
2020,10,10 4081 01,4081,01,Own Purpose Revenue,updated_line,minor,"Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082), Brownfield Redevelopment(line 4083) and Other(line 4084).",pdf_changelog
2020,10,10 4082 01,4082,01,Own Purpose Revenue,updated_line,minor,"Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082), Brownfield Redevelopment(line 4083) and Other(line 4084).",pdf_changelog
2020,10,10 4083 01,4083,01,Own Purpose Revenue,updated_line,minor,"Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082), Brownfield Redevelopment(line 4083) and Other(line 4084).",pdf_changelog
2020,10,10 4084 01,4084,01,Own Purpose Revenue,updated_line,minor,"Canada Gas Tax used for Capital Investments on SLC 10 4099 01 includes the new items: Broadband Connectivity(line 4081), Tourism Infrastructure(line 4082), Brownfield Redevelopment(line 4083) and Other(line 4084).",pdf_changelog
2020,10,10 4205 01,4205,01,Own Purpose Revenue,updated_line,minor,Input Federal Gas Tax for Operating expenses: Capacity Building on SLC 10 4205 01.,pdf_changelog
2020,10,10 4299 01,4299,01,Own Purpose Revenue,updated_line,minor,Canada Gas Tax Recognized in the year on SLC 10 4299 01 is automatically calculated as the sum of (SLC 10 4099 01 + SLC 10 4205 01).,pdf_changelog
2020,42,42 6009 01,6009,01,,updated_line,minor,Input amounts for Total COVID-19 Expenses as reported on SLC 40 0450 11 on SLC 42 6009 01.,pdf_changelog
2020,60,60 1048 01,1048,01,"Obligatory Reserve Funds, Deferred Revenue",updated_line,minor,Report Deferred revenue earned (Canada Gas Tax for Operating - Capacity Building) on  SLC 60 1048 01.,pdf_changelog
2020,72B,72 1000 xx,1000,,Continuity of Taxes Receivable,updated_line,minor,"Taxes collected on behalf of ""other"" bodies (Mun. Act 353) on line 1000.",pdf_changelog
2020,72B,72 1010 xx,1010,,Continuity of Taxes Receivable,updated_line,minor,Write-off of taxes (Mun. Act 354) on line 1010.,pdf_changelog
2020,72B,72 1020 xx,1020,,Continuity of Taxes Receivable,updated_line,minor,"Cancellation, reduction, refund of taxes, overcharges (Mun. Act 357/358) on line 1020.",pdf_changelog
2020,72B,72 1030 xx,1030,,Continuity of Taxes Receivable,updated_line,minor,"Cancellation, reduction or refund of taxes (Mun. Act 365) on line 1030.",pdf_changelog
2020,72B,72 1040 xx,1040,,Continuity of Taxes Receivable,updated_line,minor,Canada Gas Tax Recognized in the year on SLC 10 4299 01 is automatically calculated as the sum of (SLC 10 4099 01 + SLC 10 4205 01).,pdf_changelog
