OGF_ID,MUNICIPAL_TYPE,MUNICIPAL_TYPE_FR,MUNICIPAL_NAME,MUNICIPAL_NAME_FR,MUNID,MAH_CODE,MUNICIPAL_AREA_EXTENT_TYPE,MUNICIPAL_AREA_EXTENT_TYPE_FR,ASSESSMENT_CODE,MUNICIPAL_NAME_PREFIX,MUNICIPAL_NAME_PREFIX_FR,MUNICIPAL_NAME_SHORTFORM,MUNICIPAL_NAME_SHORTFORM_FR,UPPER_TIER_ASSESSMENT_CODE,UPPER_TIER_MUNICIPALITY,UPPER_TIER_MUNICIPALITY_FR,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
319585724,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF ARMOUR,CANTON D'ARMOUR,49019,86601,Mainland,Terre ferme,4919,TOWNSHIP OF,CANTON DE,ARMOUR,ARMOUR,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1,0,0
319585954,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF FRONT OF YONGE,CANTON DE FRONT OF YONGE,7017,56615,Islands,Îles,806,TOWNSHIP OF,CANTON DE,FRONT OF YONGE,FRONT OF YONGE,,UNITED COUNTIES OF LEEDS AND GRENVILLE,COMTÉS UNIS DE LEEDS AND GRENVILLE,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,17,0,0
319585849,Single Tier Municipality,Municipalités à palier unique,TOWN OF COBALT,VILLE DE COBALT,54008,90402,Mainland,Terre ferme,5408,TOWN OF,VILLE DE,COBALT,COBALT,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,33,0,0
319585688,Single Tier Municipality,Municipalités à palier unique,CITY OF OTTAWA,VILLE D'OTTAWA,6005,20107,Islands,Îles,614,CITY OF,CITÉ DE,OTTAWA,OTTAWA,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,49,0,0
319585745,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF THE BLUE MOUNTAINS,VILLE DE THE BLUE MOUNTAINS,42041,47405,Mainland,Terre ferme,4242,TOWN OF,VILLE DE,THE BLUE MOUNTAINS,THE BLUE MOUNTAINS,,COUNTY OF GREY,COMTÉ DE GREY,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,65,0,0
319585747,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF TUDOR AND CASHEL,CANTON DE TUDOR AND CASHEL,12048,51617,Mainland,Terre ferme,1248,TOWNSHIP OF,CANTON DE,TUDOR AND CASHEL,TUDOR AND CASHEL,,COUNTY OF HASTINGS,COMTÉ DE HASTINGS,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,81,0,0
319586058,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF SOUTH ALGONQUIN,CANTON DE SOUTH ALGONQUIN,48001,85601,Mainland,Terre ferme,4801,TOWNSHIP OF,CANTON DE,SOUTH ALGONQUIN,SOUTH ALGONQUIN,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,97,0,0
319585966,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF BECKWITH,CANTON DE BECKWITH,9024,55602,Mainland,Terre ferme,924,TOWNSHIP OF,CANTON DE,BECKWITH,BECKWITH,,COUNTY OF LANARK,COMTÉ DE LANARK,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,113,0,0
319585699,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF HUNTSVILLE,VILLE DE HUNTSVILLE,44042,33403,Mainland,Terre ferme,4442,TOWN OF,VILLE DE,HUNTSVILLE,HUNTSVILLE,,DISTRICT MUNICIPALITY OF MUSKOKA,DISTRICT MUNICIPALITÉ DE MUSKOKA,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,129,0,0
319585636,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF DAWSON,CANTON DE DAWSON,59040,87613,Water,Eau,5934,TOWNSHIP OF,CANTON DE,DAWSON,DAWSON,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,145,0,0
