Municipality,Ten-year housing target ,Total housing progress since 2022,Target for 2024,Total 2024 housing progress,Progress % for 2024,Housing target status
Ajax,17000,1908,1417,270,19.05%,Not met
Aurora,8000,663,667,189,28.34%,Not met
Barrie,23000,5450,1917,1459,76.11%,Not met
Belleville,3100,1177,258,250,96.90%,On track
Bradford West Gwillimbury,6500,1015,542,263,48.52%,Not met
Brampton,113000,21005,9417,5791,61.50%,Not met
Brantford,10000,2543,833,372,44.66%,Not met
Burlington,29000,1897,2417,1185,49.03%,Not met
Caledon,13000,2511,1083,715,66.02%,Not met
Cambridge,19000,3023,1583,741,46.81%,Not met
Chatham-Kent,1100,1378,92,311,338.04%,Exceeded
Clarington,13000,2135,1083,899,83.01%,On track
East Gwillimbury,4300,1214,358,328,91.62%,On track
Georgina,6200,1039,517,417,80.66%,On track
Greater Sudbury,3800,1577,317,840,264.98%,Exceeded
Guelph,18000,2897,1500,1279,85.27%,On track
Haldimand County,4200,744,350,310,88.57%,On track
Halton Hills,9500,679,792,293,36.99%,Not met
Hamilton,47000,10196,3917,2384,60.86%,Not met
Innisfil,6300,1604,525,309,58.86%,Not met
Kawartha Lakes,6500,1494,542,451,83.21%,On track
Kingston,8000,2862,667,966,144.83%,Exceeded
Kitchener,35000,9594,2917,3067,105.14%,Exceeded
London,47000,8036,3917,3723,95.05%,On track
Markham,44000,6492,3667,2034,55.47%,Not met
Milton,21000,5539,1750,2260,129.14%,Exceeded
Mississauga,120000,12099,10000,3496,34.96%,Not met
New Tecumseth,6400,558,533,251,47.09%,Not met
Newmarket,12000,1007,1000,223,22.30%,Not met
Niagara Falls,8000,1857,667,774,116.04%,Exceeded
Norfolk County,5700,735,475,189,39.79%,Not met
North Bay,1000,820,83,398,479.52%,Exceeded
Oakville,33000,7603,2750,3679,133.78%,Exceeded
Oshawa,23000,4063,1917,949,49.50%,Not met
Ottawa,151000,28641,12583,7871,62.55%,Not met
Peterborough City,4700,1070,392,294,75.00%,Not met
Pickering,13000,4932,1083,1880,173.59%,Exceeded
Richmond Hill,27000,3108,2250,912,40.53%,Not met
Sarnia,1000,575,83,164,197.59%,Exceeded
Sault Ste. Marie,1500,671,125,189,151.20%,Exceeded
St. Catharines,11000,1853,917,782,85.28%,On track
Thunder Bay,2200,603,183,262,143.17%,Exceeded
Toronto,285000,74339,23750,20999,88.42%,On track
Vaughan,42000,8604,3500,2431,69.46%,Not met
Waterloo,16000,3285,1333,1722,129.18%,Exceeded
Welland,4300,1955,358,408,113.97%,Exceeded
Whitby,18000,3333,1500,627,41.80%,Not met
Whitchurch-Stouffville,6500,1642,542,60,11.07%,Not met
Windsor,13000,3143,1083,2306,212.93%,Exceeded
Woodstock ,5500,746,458,134,29.26%,Not met
Municipalities without targets,172700,46537,14390,12802,88.96%,Not applicable
